iter	Passed	Remaining
407	1335	1937
408	1338	1933
409	1341	1930
410	1344	1926
411	1347	1922
412	1350	1919
413	1353	1915
414	1356	1912
415	1360	1909
416	1363	1905
417	1365	1901
418	1368	1898
419	1371	1894
420	1375	1892
421	1379	1889
422	1382	1885
423	1385	1881
424	1388	1877
425	1391	1874
426	1394	1871
427	1397	1867
428	1400	1863
429	1403	1860
430	1406	1857
431	1409	1853
432	1412	1849
433	1415	1845
434	1418	1842
435	1421	1839
436	1424	1835
437	1427	1831
438	1430	1828
439	1433	1824
440	1437	1821
441	1440	1818
442	1443	1814
443	1446	1811
444	1449	1807
445	1452	1804
446	1455	1800
447	1458	1797
448	1461	1793
449	1464	1790
450	1468	1787
451	1471	1784
452	1474	1780
453	1477	1777
454	1480	1773
455	1483	1769
456	1486	1766
457	1489	1762
458	1492	1758
459	1495	1755
460	1498	1751
461	1501	1748
462	1504	1744
463	1507	1741
464	1510	1737
465	1513	1734
466	1516	1731
467	1519	1727
468	1522	1724
469	1526	1720
470	1529	1717
471	1532	1714
472	1535	1710
473	1538	1706
474	1541	1703
475	1545	1700
476	1548	1698
477	1552	1694
478	1555	1692
479	1560	1690
480	1565	1689
481	1568	1685
482	1571	1682
483	1575	1679
484	1578	1676
485	1582	1673
486	1585	1670
487	1588	1666
488	1591	1663
489	1595	1660
490	1598	1656
491	1601	1653
492	1604	1650
493	1608	1647
494	1611	1643
495	1614	1640
496	1617	1637
497	1621	1634
498	1624	1630
499	1627	1627
500	1631	1624
501	1634	1621
502	1637	1617
503	1640	1614
504	1644	1611
505	1648	1609
506	1651	1605
507	1654	1602
508	1657	1598
509	1661	1596
510	1664	1593
511	1668	1590
512	1671	1587
513	1674	1583
514	1679	1581
515	1682	1577
516	1685	1574
517	1688	1570
518	1691	1567
519	1694	1564
520	1698	1561
521	1701	1558
522	1704	1554
523	1708	1551
524	1711	1548
525	1715	1545
526	1718	1542
527	1721	1538
528	1724	1535
529	1728	1532
530	1731	1528
531	1734	1525
532	1737	1522
533	1741	1519
534	1744	1516
535	1747	1512
536	1750	1509
537	1753	1505
538	1757	1503
539	1760	1499
540	1763	1496
541	1766	1492
542	1769	1489
543	1773	1486
544	1776	1483
545	1779	1479
546	1782	1476
547	1785	1472
548	1789	1469
549	1792	1466
550	1794	1462
551	1798	1459
552	1801	1455
553	1804	1452
554	1807	1449
555	1810	1445
556	1813	1442
557	1816	1438
558	1819	1435
559	1822	1432
560	1825	1428
561	1828	1425
562	1831	1421
563	1835	1418
564	1837	1415
565	1840	1411
566	1843	1407
567	1846	1404
568	1849	1401
569	1851	1396
570	1854	1393
571	1857	1389
572	1860	1386
573	1863	1382
574	1866	1379
575	1869	1376
576	1872	1372
577	1875	1369
578	1878	1365
579	1881	1362
580	1884	1359
581	1887	1355
582	1890	1352
583	1893	1348
584	1896	1345
585	1899	1342
586	1902	1338
587	1905	1335
588	1908	1331
589	1911	1328
590	1915	1325
591	1918	1321
592	1921	1318
593	1924	1315
594	1927	1312
595	1931	1308
596	1934	1305
597	1937	1302
598	1940	1298
599	1943	1295
600	1947	1292
601	1950	1289
602	1953	1286
603	1956	1282
604	1959	1279
605	1962	1276
606	1965	1272
607	1968	1269
608	1971	1265
609	1974	1262
610	1978	1259
611	1981	1255
612	1983	1252
613	1987	1249
614	1989	1245
615	1993	1242
616	1996	1239
617	1999	1235
618	2002	1232
619	2005	1229
620	2008	1225
621	2011	1222
622	2014	1219
623	2017	1215
624	2020	1212
625	2024	1209
626	2027	1205
627	2030	1202
628	2033	1199
629	2036	1195
630	2038	1191
631	2041	1188
632	2044	1185
633	2047	1181
634	2049	1178
635	2053	1175
636	2056	1172
637	2059	1168
638	2062	1165
639	2065	1161
640	2068	1158
641	2071	1155
642	2074	1151
643	2077	1148
644	2080	1145
645	2084	1142
646	2087	1138
647	2090	1135
648	2092	1131
649	2095	1128
650	2099	1125
651	2102	1121
652	2105	1118
653	2108	1115
654	2111	1111
655	2114	1108
656	2117	1105
657	2120	1102
658	2123	1098
659	2126	1095
660	2130	1092
661	2133	1089
662	2136	1085
663	2138	1082
664	2141	1078
665	2144	1075
666	2147	1072
667	2150	1068
668	2155	1066
669	2158	1063
670	2161	1059
671	2164	1056
672	2167	1053
673	2171	1050
674	2174	1046
675	2177	1043
676	2180	1040
677	2183	1036
678	2186	1033
679	2189	1030
680	2192	1026
681	2195	1023
682	2198	1020
683	2201	1017
684	2204	1013
685	2207	1010
686	2210	1007
687	2213	1003
688	2216	1000
689	2219	997
690	2222	993
691	2225	990
692	2228	987
693	2231	983
694	2234	980
695	2237	977
696	2240	974
697	2243	970
698	2247	967
699	2250	964
700	2253	961
701	2256	957
702	2259	954
703	2262	951
704	2265	947
705	2268	944
706	2271	941
707	2274	937
708	2277	934
709	2280	931
710	2283	928
711	2286	924
712	2288	921
713	2292	918
714	2295	914
715	2298	911
716	2301	908
717	2304	904
718	2307	901
719	2311	898
720	2314	895
721	2317	892
722	2320	889
723	2323	885
724	2326	882
725	2329	879
726	2332	875
727	2335	872
728	2338	869
729	2341	866
730	2344	862
731	2347	859
732	2350	856
733	2353	852
734	2356	849
735	2360	846
736	2363	843
737	2367	840
738	2370	837
739	2373	833
740	2376	830
741	2379	827
742	2382	824
743	2385	820
744	2388	817
745	2391	814
746	2394	811
747	2398	807
748	2401	804
749	2404	801
750	2407	798
751	2410	795
752	2413	791
753	2416	788
754	2419	785
755	2422	781
756	2425	778
757	2428	775
758	2431	772
759	2434	768
760	2437	765
761	2440	762
762	2444	759
763	2447	755
764	2450	752
765	2453	749
766	2456	746
767	2459	742
768	2462	739
769	2465	736
770	2468	733
771	2471	729
772	2474	726
773	2477	723
774	2480	720
775	2483	716
776	2486	713
777	2489	710
778	2492	707
779	2495	703
780	2498	700
781	2501	697
782	2504	694
783	2508	691
784	2511	687
785	2514	684
786	2517	681
787	2521	678
788	2524	675
789	2527	671
790	2530	668
791	2533	665
792	2536	662
793	2539	658
794	2542	655
795	2545	652
796	2548	649
797	2551	645
798	2554	642
799	2557	639
800	2560	636
801	2563	632
802	2567	629
803	2570	626
804	2573	623
805	2576	620
806	2579	616
807	2582	613
808	2586	610
809	2589	607
810	2592	604
811	2595	600
812	2598	597
813	2601	594
814	2604	591
815	2606	587
816	2609	584
817	2612	581
818	2615	578
819	2618	574
820	2621	571
821	2624	568
822	2628	565
823	2633	562
824	2671	566
825	2704	569
826	2722	569
827	2725	566
828	2728	562
829	2731	559
830	2735	556
831	2738	553
832	2742	549
833	2746	546
834	2751	543
835	2759	541
836	2766	538
837	2770	535
838	2773	532
839	2777	528
840	2780	525
841	2783	522
842	2786	518
843	2789	515
844	2792	512
845	2795	508
846	2798	505
847	2801	502
848	2804	498
849	2807	495
850	2810	492
851	2813	488
852	2816	485
853	2819	482
854	2822	478
855	2825	475
856	2828	472
857	2831	468
858	2835	465
859	2838	462
860	2841	458
861	2844	455
862	2847	452
863	2850	448
864	2854	445
865	2857	442
866	2860	438
867	2864	435
868	2867	432
869	2870	428
870	2873	425
871	2876	422
872	2879	418
873	2882	415
874	2885	412
875	2889	409
876	2892	405
877	2896	402
878	2901	399
879	2905	396
880	2911	393
881	2914	389
882	2917	386
883	2922	383
884	2928	380
885	2931	377
886	2934	373
887	2938	370
888	2944	367
889	2947	364
890	2952	361
891	2957	358
892	2961	354
893	2964	351
894	2969	348
895	2975	345
896	2978	342
897	2982	338
898	2985	335
899	2988	332
900	2992	328
901	2995	325
902	2998	322
903	3003	318
904	3008	315
905	3011	312
906	3015	309
907	3020	306
908	3025	302
909	3028	299
910	3031	296
911	3036	293
912	3040	289
913	3043	286
914	3047	283
915	3052	279
916	3056	276
917	3059	273
918	3063	269
919	3066	266
920	3069	263
921	3072	259
922	3075	256
923	3078	253
924	3082	249
925	3084	246
926	3087	243
927	3090	239
928	3094	236
929	3098	233
930	3102	229
931	3105	226
932	3109	223
933	3112	219
934	3115	216
935	3118	213
936	3122	209
937	3125	206
938	3128	203
939	3131	199
940	3134	196
941	3137	193
942	3141	189
943	3144	186
944	3147	183
945	3150	179
946	3153	176
947	3157	173
948	3160	169
949	3163	166
950	3167	163
951	3170	159
952	3173	156
953	3176	153
954	3181	149
955	3185	146
956	3189	143
957	3194	140
958	3198	136
959	3201	133
960	3204	130
961	3208	126
962	3211	123
963	3214	120
964	3217	116
965	3222	113
966	3228	110
967	3231	106
968	3235	103
969	3239	100
970	3244	96
971	3247	93
972	3252	90
973	3256	86
974	3260	83
975	3263	80
976	3267	76
977	3271	73
978	3274	70
979	3277	66
980	3280	63
981	3285	60
982	3288	56
983	3291	53
984	3294	50
985	3298	46
986	3301	43
987	3304	40
988	3307	36
989	3310	33
990	3313	30
991	3316	26
992	3319	23
993	3322	20
994	3325	16
995	3328	13
996	3332	10
997	3335	6
998	3338	3
999	3341	0
