iter	Logloss
0	0.6849114161
1	0.6782232579
2	0.6699409231
3	0.6627949291
4	0.6557330292
5	0.6485648821
6	0.6422121282
7	0.6353404279
8	0.6291245134
9	0.6219703805
10	0.6162749747
11	0.6097448064
12	0.6039731854
13	0.5984866573
14	0.593071481
15	0.5865988043
16	0.580648518
17	0.5750467595
18	0.5694438059
19	0.5633966342
20	0.5588966306
21	0.5538736078
22	0.5491376705
23	0.5450673198
24	0.5406523262
25	0.5363241483
26	0.5318960712
27	0.5273696133
28	0.5233194669
29	0.5187158616
30	0.5133623425
31	0.5095786752
32	0.5057328071
33	0.5016517912
34	0.4977380673
35	0.4940971741
36	0.4901583052
37	0.4862050553
38	0.4823221962
39	0.4793066628
40	0.476225127
41	0.4723065167
42	0.4694067598
43	0.4660147734
44	0.4620795813
45	0.4593381196
46	0.4561588284
47	0.4530471215
48	0.4498070268
49	0.4471160034
50	0.4445675448
51	0.4419943576
52	0.4387385379
53	0.4361074285
54	0.43376392
55	0.4311998483
56	0.4288642729
57	0.4274057254
58	0.4246035341
59	0.4224001544
60	0.4201489125
61	0.4177561353
62	0.4159549161
63	0.414038704
64	0.4114267374
65	0.4089678962
66	0.4065123356
67	0.4042232782
68	0.4022785886
69	0.4005954928
70	0.3987486796
71	0.3963929076
72	0.3948937431
73	0.3934443251
74	0.391527593
75	0.389685574
76	0.3883281845
77	0.3868081162
78	0.3851315544
79	0.3831165316
80	0.3810852651
81	0.3795839416
82	0.3777957284
83	0.3759519922
84	0.3741192166
85	0.3724608105
86	0.3707267239
87	0.3693201508
88	0.3677545483
89	0.3665456323
90	0.3653017892
91	0.3638323555
92	0.3620825413
93	0.3608321651
94	0.3591846956
95	0.3575216648
96	0.3564557879
97	0.3549646595
98	0.3535236519
99	0.3523216229
100	0.3509614254
101	0.349630443
102	0.3482638672
103	0.3468865023
104	0.3458209327
105	0.3447799589
106	0.3437982874
107	0.3424280245
108	0.3411658431
109	0.3397839682
110	0.3384986777
111	0.3377108377
112	0.3365562044
113	0.3353821274
114	0.3342076412
115	0.3331455795
116	0.3323851006
117	0.3314353422
118	0.330300675
119	0.3293736275
120	0.3282339511
121	0.3273173262
122	0.32626135
123	0.3255439369
124	0.3247595051
